"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a user cannot log in with an invalid password","1341","TC003 - Login with an invalid password","tests","2026-06-25","passed","2026-06-25","TestLogin","test_login","",""
"Verify that transactions can be filtered correctly by type","1869","TC015 - Validate type filter","tests","2026-06-25","passed","2026-06-25","TestLogin","test_login","",""
"Verify that transactions can be filtered correctly by account","1841","TC014 - Validate account filter","tests","2026-06-25","passed","2026-06-25","TestLogin","test_login","",""
"Verify that transactions can be filtered correctly by date","1884","TC016 - Validate date filter","tests","2026-06-25","passed","2026-06-25","TestLogin","test_login","",""
"Validate a viewer user is not capable to delete a transfer transaction","588","TC013 - Delete a transfer transaction with a viewer user","tests","2026-06-25","passed","2026-06-25","TestLogin","test_login","",""
"Create a Checking account on the Account section","2147","TC005 - Create a Checking account","tests","2026-06-25","passed","2026-06-25","TestLogin","test_login","",""
"Validate the user is capable to create a transfer transaction","2482","TC011 - Create a transfer transaction","tests","2026-06-25","passed","2026-06-25","TestLogin","test_login","",""
"Validate the user is capable to create a withdrawal transfer","2334","TC010 - Create a withdrawal transfer","tests","2026-06-25","passed","2026-06-25","TestLogin","test_login","",""
"Validate the user is capable to edit a Primary Savings account","2507","TC007 - Edit a Primary Savings account","tests","2026-06-25","passed","2026-06-25","TestLogin","test_login","",""
"Validate the user is capable to create a deposit transfer","2350","TC009 - Create a deposit transfer","tests","2026-06-25","passed","2026-06-25","TestLogin","test_login","",""
"Verify that a user cannot log in with an invalid username.","893","TC002 - Login with an invalid user","tests","2026-06-25","passed","2026-06-25","TestLogin","test_login","",""
"Verify that an administrator can access the dashboard using valid credentials.","1773","TC001 - Login with valid admin credentials","tests","2026-06-25","passed","2026-06-25","TestLogin","test_login","",""
"Validate the user is capable to delete a Primary Savings account","2314","TC008 - Delete a Primary Savings account","tests","2026-06-25","passed","2026-06-25","TestLogin","test_login","",""
"Create a Saving account on the Account section","1610","TC004 - Create a saving account","tests","2026-06-25","passed","2026-06-25","TestLogin","test_login","",""
"Create a Credit account on the Account section","2104","TC006 - Create a Credit account","tests","2026-06-25","passed","2026-06-25","TestLogin","test_login","",""
"Validate a viewer user is not capable to edit a transfer transaction","588","TC012 - Edit a transfer transaction with a viewer user","tests","2026-06-25","passed","2026-06-25","TestLogin","test_login","",""
